,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
36,东北菜也能吃掉我一千块？探店全国唯一米其林东北菜馆！,https://www.bilibili.com/video/BV1iq4y137YR,哇塞几张,478862,252142,2976,9378,31116,0,468,1702
37,挑战日本巨大美食！号称全世界最大泡面！一个人吃得完吗？,https://www.bilibili.com/video/BV1Wg411K7Ny,飞社长,473981,342482,1800,4194,25650,0,388,1094
38,爆火某音的“拉丝零食”究竟是智商税还是真好吃？#第二弹！,https://www.bilibili.com/video/BV1jf4y1T7Yd,姬一元,470529,286660,2170,3909,33035,0,168,1580
39,麦当劳：求求你了，去复刻肯德基吧！,https://www.bilibili.com/video/BV1Qg411K7nG,大碗拿铁,462549,909767,3406,14179,89637,0,1772,11545
40,天气降温，爷仨在家涮火锅，吃的暖和和的，真惬意,https://www.bilibili.com/video/BV1JS4y1d7JM,胖龙的小生活,438499,309966,2940,6767,21400,0,347,747
41,五家火锅随机pk，爆汁大鸡肾吃哭了？ | 成都美味探店,https://www.bilibili.com/video/BV1pU4y1g7s8,密子君,425737,298622,2068,3130,23060,0,340,1023
42,东北超大露天菜市场！物价能有多便宜！八斤水果卖10块钱！市场干饭太香啦！烟火气嘎嘎滴！,https://www.bilibili.com/video/BV1LL4y1v72x,花二Strange,418922,270850,3033,4569,22582,0,1442,1476
43,今日份养胖投食，螺蛳粉火锅，太好吃了！🤤,https://www.bilibili.com/video/BV1nP4y15732,家有仙妻良胃仙,409769,344430,484,554,18883,0,1290,485
44,成熟的排球 已经学会给自己开小灶了,https://www.bilibili.com/video/BV1Lv411M7zr,桓桓真的很文静,406767,309951,132,138,23570,0,29,465
45,1000买15斤竹蛏，阿胖山做蒜蓉竹蛏，一口一个蒜香过瘾,https://www.bilibili.com/video/BV1aP4y1j7Ev,阿胖山,406158,415082,1274,7453,32821,0,605,1081
46,【红糖麻薯】别让鲜芋仙刷到，我打算去开店了！快让男朋友学起来~,https://www.bilibili.com/video/BV1zh411t77K,神奇海挪,405108,202582,2384,6121,23739,0,1387,2676
47,饺子这么做，个个皮薄透亮，越是看起来家常的美食做起来越要下功夫,https://www.bilibili.com/video/BV19h411t763,品诺美食开课啦,368671,187855,489,2592,17674,0,1013,4097
48,韩国24h无人自助拉面便利店!肥宅社恐人的天堂,https://www.bilibili.com/video/BV1mU4y1g7in,羊羊羊PD,364761,242902,1399,3178,17504,0,1444,1748
49,四季调料（九）——藏在泥土里的小众云南味,https://www.bilibili.com/video/BV1Cq4y1r7U3,滇西小哥,356870,165951,2081,9024,22880,0,296,1434
50,野钓越冷越凶，狂拉50条！回家先吃着……,https://www.bilibili.com/video/BV16f4y1u7pL,我是野农,349308,191983,3745,7995,19935,0,221,831
51,大鱼大肉吃多了，来一道神仙姐姐才能吃到的爽口小凉菜，酸甜脆爽~绝绝子！！,https://www.bilibili.com/video/BV1dL4y1i76y,了了小食代,349252,643439,64,851,14135,0,478,11832
52,这奇葩饮料喝下去感觉在惩罚我自己...,https://www.bilibili.com/video/BV1uq4y1376C,唐尼是个der,346713,766819,322,748,27296,0,148,1704
53,英国小哥深夜做中餐：下夜班了！只有中国菜能抚慰我的胃！,https://www.bilibili.com/video/BV1Qf4y1u7hC,小马逛吃,341738,191944,2475,5975,19976,0,100,1086
54,打卡市中心宝藏手工粉店，居然还可以无限续粉？一口汤下肚整个人都暖了！,https://www.bilibili.com/video/BV1nT4y197Ft,章余飞不是章鱼飞,339684,184261,2094,6925,18537,0,409,1607
