,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
66,【竖屏纯享】学生光脚白丝翻跳《姐就是女王》,https://www.bilibili.com/video/BV1hf4y1T7Zd,猪饲料88,77759,37399,70,124,2235,0,31,1369
67,背信任感觉真好,https://www.bilibili.com/video/BV1LU4y1M7Pd,A豆豆吧,77220,46901,16,7,922,0,24,1279
68,天冷了，我能去你怀里吗？丨竖屏丨so crazy,https://www.bilibili.com/video/BV1Jv411M7bF,yiyo不是废喵,76434,19343,20,88,1446,0,13,2448
69,【Maria】跳一支舞竟然挣了1800？,https://www.bilibili.com/video/BV1bQ4y1q7Um,刘安猪_Andrew,75647,818776,607,4328,87379,0,5585,24518
70,❤️蓝色战衣～长腿小姐姐带给你极致的温柔❤️,https://www.bilibili.com/video/BV1MP4y157LB,厚蠢狗子,75117,22896,35,157,1491,0,21,2136
71,大型社死现场！在全校面前“辣舞”《新宝岛》!!!,https://www.bilibili.com/video/BV12g411K7Fe,Piano莱特,74434,227034,611,8312,26555,0,475,2907
72,人-间-芭-比（popping）,https://www.bilibili.com/video/BV1bv411T7qP,Barbin-ili芭比,73991,1269177,264,2833,71996,0,983,8448
73,【依依酱】鱿 鱼 社 死 游 戏（点赞过5000就和我爸爸跳）,https://www.bilibili.com/video/BV1mT4y1R7XU,圆脸依依酱,73352,1314578,1554,12631,63097,0,5685,7801
74,极 致 竖 屏 door-红裙猫抓舞 开 屏 暴 击,https://www.bilibili.com/video/BV1jq4y1k7hP,小深深儿,73010,203169,274,2882,16363,0,376,10074
75,井川里予加长版跳舞视频来啦，能看完的老铁绝对是真爱,https://www.bilibili.com/video/BV1MT4y1d7a5,有颜有值-,72962,476805,168,931,9465,0,399,11206
76,这就是小说里的团宠小师妹吗？超甜国风《霜降》,https://www.bilibili.com/video/BV1sR4y1E7e3,小樱子酱,72838,18293,111,332,1678,0,27,2150
77,【DoDo】Somi《XOXO》翻跳+舞蹈教程动作分解/这辣妹味就是拿捏住了,https://www.bilibili.com/video/BV1c3411C7Ad,潘绘都Do,72156,74023,279,1742,4731,0,280,4504
78,【温】你105斤的微瘦师妹来跳舞啦～♥️一花依世界,https://www.bilibili.com/video/BV1Ub4y187X8,大温温温,71987,62603,136,770,3973,0,56,5180
79,【阿羊】诱人胭脂色~❀鸽子回归作,https://www.bilibili.com/video/BV1LP4y1j7Qt,薅羊毛的小天使,70509,13291,22,303,1430,0,11,2177
80,“来谈一场甜甜的校园恋爱吧！”双人舞《Because Of You+风吹一夏》舞台直拍,https://www.bilibili.com/video/BV1fQ4y1S7s3,Aurora小茗,69776,52066,47,185,2986,0,55,1047
81,此时此刻你们在干嘛,https://www.bilibili.com/video/BV1bP4y1j7K7,小小舞蹈教学,68983,53260,37,21,1028,0,22,914
82,双倍恐怖！双胞胎版！123木头人女孩【鱿鱼游戏】,https://www.bilibili.com/video/BV1dP4y1V78f,双十双夏,67943,43423,139,282,2344,0,28,551
83,鳄鱼羊驼同场尬舞,https://www.bilibili.com/video/BV1UL4y1q7mP,可可不跳舞,66322,42973,50,372,3633,0,148,137
84,这是你喜欢的微胖女友吗【纯享竖屏】,https://www.bilibili.com/video/BV1L44y1e7tE,泡泡同学PP,65794,23599,18,92,1630,0,21,1665
85,和我们共舞一曲吧，在这魔法舞会上【粥芙】,https://www.bilibili.com/video/BV1uL411u7RA,泡芙酱DAZE,65246,35788,114,150,1790,0,17,1026
86,【小鹿】Genie♥ 跟姐姐说出你的愿望吧！！,https://www.bilibili.com/video/BV1x44y1e7dD,小鹿不是美少女,63817,84828,48,437,4894,0,107,8710
87,【Lovelive】no brand girls  | 一起创造雨中的奇迹吧！,https://www.bilibili.com/video/BV1gb4y187ud,高冷言沐,63758,149785,97,2931,12870,0,330,2278
88,我总算知道“舞”和“武”为什么同音了！,https://www.bilibili.com/video/BV1GT4y1o78u,荒草音乐,61191,3771031,2637,15943,381218,0,7161,74579
89,站住 ！喜欢哪个！⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)nonono,https://www.bilibili.com/video/BV1U34y1m7s4,凛子同学提不起劲,60591,1025871,1044,10943,52531,0,2839,29137
90,AI女团！9人全员合体！aespa新曲《Savage》9套换装 全曲实力翻跳【郡主】,https://www.bilibili.com/video/BV1Dh411b7YR,VivianS郡主,60441,1007357,995,38915,67352,0,1933,19548
91,【沫沫竖版】️❤️LALISA️❤️实力钢管还原MV，高质量翻跳，效果、技巧满分，能得到你的三连吗？,https://www.bilibili.com/video/BV1Qb4y187y9,王筱沫沫丶,58250,151857,85,1516,6839,0,168,5515
92,阳光下的美少女！竖屏更心动了吗~❤,https://www.bilibili.com/video/BV1ov411u7W6,慕慕有奶糖,57944,134163,82,1298,7404,0,230,10211
93,新宝岛还得让专业人士来跳,https://www.bilibili.com/video/BV1cq4y1V766,小杨のTeam,57123,265307,232,1503,15397,0,158,723
94,网管！别跳了！！开台机！！！,https://www.bilibili.com/video/BV1xL4y1q79R,萌爱moi,56907,104450,167,564,11538,0,62,3122
95,《街头女战士》noze再跳KAI《Mmmh》不一样的弱者对决！,https://www.bilibili.com/video/BV17L4y1v7AW,韩国me2day,56699,45856,66,14,1139,0,53,260
96,趁舍友不在，偷偷在宿舍性感蹦迪BBOOM BBOOM,https://www.bilibili.com/video/BV1Lg411K7Ui,恬欣欣,54355,29928,114,324,2001,0,44,1819
97,我将抖肩舞、KFC猛男、金凯瑞摇头、鸡你太美、油田、骚虎融到了一个舞蹈里,https://www.bilibili.com/video/BV1X3411k7Hv,反白嫖艺术家,53178,588422,358,11586,43245,0,653,2766
98,深夜【野兔】,https://www.bilibili.com/video/BV1Bh411t7NB,兔牙Sinar酱,51663,27398,22,155,2116,0,19,613
99,性感大姐姐二选一？LOVESICK GIRLS【vivi&开开酱】,https://www.bilibili.com/video/BV1Pq4y1k7QA,壁花少女vi,51353,38374,36,310,2076,0,25,2550
