,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
65,芯片制造详解04：光刻技术与基本流程｜国产之路不容易,https://www.bilibili.com/video/BV1tP4y1j7BA,谈三圈,124469,300351,1305,10275,13319,0,713,5382
66,显示器视频接口科普：看完就懂HDMI、DP、DVI、VGA、USB-C哪个更适合你的电脑外接显示器,https://www.bilibili.com/video/BV1SL4y1q7GZ,假如科技,115160,43248,482,856,3128,0,121,2404
67,毁掉你们的梦想其实很简单......,https://www.bilibili.com/video/BV1Uf4y1u7WD,空天砺剑,113198,85578,67,43,4506,0,138,228
68,2021年度最实用的Python基础课程全套视频教程合集 | 一天一个python小技巧,https://www.bilibili.com/video/BV1pq4y1k7PA,九九挨踢,111843,16371,152,715,1707,0,1511,5080
69,【90天上岸计划】全新CTA架构师课程完整体系免费分享，从基层程序员成长为一名年薪60W的架构师？你离它有多远？,https://www.bilibili.com/video/BV1vR4y1E7Pv,阿里架构师诸葛,110546,19417,63,524,1035,0,2010,5053
70,【官方双语】Linux跟Linus八字不合——Linus & Luke日用Linux挑战第一集#linus谈科技,https://www.bilibili.com/video/BV1Fh411b7q3,LinusTechTips,107684,69274,715,498,3536,0,268,574
71,小伙贪便宜买138元的p40手机，打开后直接傻眼了！,https://www.bilibili.com/video/BV1eg411K7KT,小嵘哥美食日记,107186,201964,618,101,5958,0,26,551
72,【欢迎加入阿里大家庭】Java岗面试必问题，从基础到架构，吃透直接进阿里！,https://www.bilibili.com/video/BV14F411Y7fY,马士兵研究所,105237,13286,22,306,1066,0,142,5025
73,见过进尿进可乐坏的机器，这电脑进盐坏了，这是要腌电脑吗？,https://www.bilibili.com/video/BV18v411M72S,笔记本维修厮,105062,73792,582,372,4846,0,87,201
74,微信频繁访问你的相册，想干嘛？是在窥探什么吗？,https://www.bilibili.com/video/BV18r4y127Dk,懒布布和征征,103540,465988,820,2526,25231,0,2109,3864
75,【2021进博会】逛展逛成了购物？带你看三星最新的半导体技术！,https://www.bilibili.com/video/BV12L4y1q7Wv,微机分WekiHome,101966,86116,399,293,2265,0,115,265
76,【小宁子】Switch OLED 值得买吗？终极评测+一周使用报告｜小宁子,https://www.bilibili.com/video/BV1Fq4y1R7JQ,贪玩歌姬小宁子,101538,530462,2647,10390,27436,0,1941,4015
77,如何拍出超热血的日剧跑？“日落下全力以赴奔跑的少女”要这样拍！,https://www.bilibili.com/video/BV1vg411K7PU,古天鸡的旅行日志,100854,36404,559,1503,2487,0,420,2132
78,『B站最强小米降级』小米手机降级系统MIUI12.5降级MIUI12教程,https://www.bilibili.com/video/BV1jF411Y7g7,Good_idea,100837,41209,70,961,1691,0,94,2035
79,EDG夺冠了 我又做起了电竞梦,https://www.bilibili.com/video/BV1sf4y1T7Hp,猫神辣椒酱,100362,50440,157,735,5595,0,319,902
80,蒸汽动力计算机,https://www.bilibili.com/video/BV1Rq4y1r7Ts,松杰九方,99014,70279,61,86,1743,0,340,1371
81,阿里巴巴顶尖团队斥巨资打造的Java架构师课程 | 最新CTA架构师课程完整体系正式推出，整整100集，建议收藏！,https://www.bilibili.com/video/BV13q4y1379n,图灵学院诸葛,98620,20869,50,524,1031,0,2012,5071
82,120天，蝙蝠侠战车这次真的来了,https://www.bilibili.com/video/BV1mr4y1C7Vj,MakerBeta超能实验室,97817,130188,369,3000,8283,0,182,1165
83,爆肝上传！我终于把全网热度最高的Java八股文面试题整理成了视频，整整100集，拿走不谢！,https://www.bilibili.com/video/BV1T3411871i,图灵程序员,95810,20237,60,514,1017,0,2014,5078
84,「找烂机」256G的iPad Pro只需300元——维修师的捡漏日常,https://www.bilibili.com/video/BV1tL411u73w,小银修手机,95453,210681,2646,8694,13023,0,122,2982
85,拯 救 学 了 运 镜 不 会 用 的 你！（feat.智云SMOOTH 5）,https://www.bilibili.com/video/BV1hf4y1T7Eq,你的不秃头,92363,32820,217,2636,3285,0,216,5116
86,拼多多百亿补贴5299的iPhone13到手翻车开出瑕疵！是品控还是后封人为？PDD售后技巧、PDD标准开箱流程全分享,https://www.bilibili.com/video/BV1H44y1e7Gq,玩客锅锅,92069,176949,873,4656,8860,0,567,1644
87,【开箱】我这种勤俭持家的男孩子还真是少见呐！,https://www.bilibili.com/video/BV17P4y1j7to,林捂捂,90997,49714,446,853,5131,0,109,535
88,新买的笔记本电脑到手后，先别急着玩，一定要记得卸载这个软件。,https://www.bilibili.com/video/BV13P4y1b7nF,电脑鹏举,90652,990152,114,2948,27620,0,1299,36457
89,采集卡没有秘密，小白也能快速搞定主机游戏录屏直播,https://www.bilibili.com/video/BV1v44y1e7JU,入江闪闪Player,90227,45633,98,539,2677,0,132,1385
90,10个神技巧，让你的Windows笔记本更好用。,https://www.bilibili.com/video/BV15S4y1d7xB,Topbook,88374,28160,237,636,2131,0,78,2261
91,你真的需要电竞显示器吗？联想拯救者Y25简评,https://www.bilibili.com/video/BV1pf4y1T7ZL,游戏动力VGN,87506,75285,152,67,1958,0,24,74
92,千锋HTML5前端开发教程 1000集完全基础入门 达到web前端工程师水平（资料含前端学习路线）,https://www.bilibili.com/video/BV17z4y1D7Yj,千锋前端学习营,86459,687423,5214,6634,14760,0,8266,30055
93,装机不求人之：C盘扩容详细教程，完美解决C盘飘红不够用！,https://www.bilibili.com/video/BV1CU4y1g7bE,天才赵德柱,85599,25598,253,2186,2420,0,80,1560
94,2021双十一桌面好物推荐:什么值得买？,https://www.bilibili.com/video/BV1fF411a7qK,FUN科技,85409,60270,186,198,3098,0,81,374
95,全套Java并发编程知识点合集，B站高质量java进阶教程！,https://www.bilibili.com/video/BV12g411K7kK,小十是小仙女吖,85353,15861,71,714,1692,0,1509,5050
96,你已经是一个成熟的夯机了，要学会自己干活,https://www.bilibili.com/video/BV1HT4y197HR,大国工程师,84814,81577,36,2,1464,0,33,149
97,【人上人专用】2000块搞了个三星zfold折叠屏，现在看还是那么高级，12+512配置支持5G,https://www.bilibili.com/video/BV13S4y1d7VV,独舞kyo,84450,51220,261,1016,1934,0,90,484
98,2周光速Linux入门，共189集，持续更新中，喜欢的就和我交个朋友吧！,https://www.bilibili.com/video/BV1FS4y1d7RM,Python地中海,82779,13313,130,548,500,0,55,3762
99,【唐僧】疯狂自驾3000公里的一张超长曝光，翡翠湖有毒！｜VLOG-43 |  | 青海｜翡翠湖｜旅游 ｜哈苏 ｜4K  | 自驾 | 房车｜大柴旦湖｜小柴旦湖,https://www.bilibili.com/video/BV1cR4y1t7n7,旅行摄影师唐僧,81762,34284,543,2408,3261,0,303,748
