,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
77,Netflix真人版《海贼王》主演曝光！路飞+索隆+娜美+山治+乌索普亮相,https://www.bilibili.com/video/BV1yT4y1d7e2,乌鸦预告片,226593,198253,355,107,5412,0,6341,649
78,《白日梦想家》废材也能实现梦想！每一个努力生活的人，身上都闪闪发光！,https://www.bilibili.com/video/BV1pg411K7sv,夏天的黄橙子,226430,188177,19,57,6624,0,18,794
79,出身贫寒，年仅17岁的他，却成为了足球界的传奇,https://www.bilibili.com/video/BV1XS4y1R7b6,小青聊电影,216149,933621,38,261,4127,0,12,1605
80,难怪男主见她第一面就想结婚啊！我见犹怜的气质型古典美人！,https://www.bilibili.com/video/BV1mL4y1i7TZ,太白兔乃糖,215306,306325,268,1165,14651,0,194,4296
81,【漫威解说】浩渺星辰中灭霸竟然会知道钢铁侠的大名？,https://www.bilibili.com/video/BV1BF411a7m7,盐焗剪影,213848,510652,49,113,43485,0,6,2004
82,没事，现在警察有执法记录仪，只要喊跳的，这人跳下来，你就有责任,https://www.bilibili.com/video/BV1hQ4y1q7DU,西墙电影,211310,1786290,369,1199,272125,0,311,23631
83,失忆女孩看着墓碑流泪，虽然脑子已经忘记你，但心里还记得,https://www.bilibili.com/video/BV1du411o7K6,君子影视,211294,493216,34,106,30827,0,39,2441
84,女儿心脏被挖走救了市长，拼了命也要给你报仇。父爱如山，不要挑战一个父亲的底线。古天乐这演技太厉害了！,https://www.bilibili.com/video/BV1QL4y1q7Us,四分电影,208329,328012,187,252,11557,0,184,959
85,24岁音乐区UP把视频拍到这个程度，能上热门吗？,https://www.bilibili.com/video/BV1U3411k7C1,钢琴师卡拉拉,204833,325223,1314,35950,32641,0,1629,13264
86,当工作事业不顺心的时候，来看一下这部励志片，会给你人生带来巨大的改变《面对巨人》,https://www.bilibili.com/video/BV1nL411372x,军师电影解说,203838,878530,312,855,51528,0,224,7426
87,最惨的埃及公主！深埋地下5000年，身体注射水银时刻保持清醒！,https://www.bilibili.com/video/BV1cL411u7H2,侃片大师兄,202572,251606,202,51,7507,0,21,640
88,国家催婚，奉旨脱单，抓个姐妹和我做夫妻。金葵扇视角看经典港剧《金牌冰人》（下）,https://www.bilibili.com/video/BV1Hg411K79F,香菜碎碎念鸭,201998,128974,772,1701,10644,0,98,560
89,虐心美惨群像：“女性的贞洁从不在罗裙之下，悲剧也不该囿于失去爱情 ”我们可以有更广阔的天空！！,https://www.bilibili.com/video/BV1AL41137yZ,梦花雪语,201379,206775,210,722,19323,0,431,5055
90,郑中基这演技什么水平，一脸嚣张：我买两张票当然坐两个位置啦！,https://www.bilibili.com/video/BV1Ju411o77N,胖优影视,201189,604911,25,211,7651,0,10,1447
91,后来才发现，他说的都是真的！,https://www.bilibili.com/video/BV1KF411e7q1,闲鱼混剪,196798,6452414,4523,14727,402113,0,1824,34116
92,双11，我们离婚吧！,https://www.bilibili.com/video/BV1Xf4y1u7DP,4A广告提案网,193956,156732,373,707,5383,0,2712,859
93,90年代的中国农村电影，淳朴的演员，说透了人性和欲望！ 《痴男怨女和牛》,https://www.bilibili.com/video/BV1DR4y1E7HU,一目十影,190347,138373,607,425,4460,0,106,1542
94,“你四什么楞” “好吧，牵牵”   可爱到爆炸！！！,https://www.bilibili.com/video/BV16h411b7RN,已存在丫,189839,2787845,1411,12299,154693,0,30561,49991
95,喜剧电影：开车撞死75人，却没有定罪判刑，只因为他是火车司机，7分钟看完《火车司机日记》,https://www.bilibili.com/video/BV1iL411G72m,沙鱼说电影,187545,4682710,2359,1492,192068,0,1089,18795
96,【觉醒年代】高燃台词混剪YYDS,https://www.bilibili.com/video/BV1vL411G7Ts,驱动蔚来,187153,1412650,2466,42806,148848,0,5134,70539
97,猎奇！来自华夏传统手艺的秘密《神奇的老字号》,https://www.bilibili.com/video/BV1MR4y1E7pG,火龙果讲电影,187140,692500,267,419,7141,0,21,1017
98,深度解读如懿传第三十九期：在这宫中行事，不为毒身，只为毒心,https://www.bilibili.com/video/BV1ur4y1y7Hu,五条虫影视,186822,83704,890,5087,8644,0,154,1174
99,比奇堡连环杀鱼事件，一条鱼为吃到人类美食，将自己做成了生鱼片,https://www.bilibili.com/video/BV1yT4y1d7ZS,小妖儿看电影,186819,116910,66,97,7901,0,47,1670
