,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
89,“我逆行90公里就到了…”女子高速逆行被抓，全程高能…,https://www.bilibili.com/video/BV1sg411K7ab,电力工程技术,36947,33800,24,5,530,0,412,112
90,2022奥迪RS7 完美的汽车美丽的细节,https://www.bilibili.com/video/BV1YU4y1g7fj,柚抢我ID,36936,24551,72,66,516,0,240,467
91,奔驰E300L 豪华版 游艇蓝开箱 圣特罗佩蓝,https://www.bilibili.com/video/BV1GP4y157Hb,东东samai,36806,33703,27,27,194,0,98,110
92,牛顶人,https://www.bilibili.com/video/BV1vQ4y1m7Wd,开心小摩托,36771,34752,59,5,311,0,140,89
93,本田CM500试驾短评,https://www.bilibili.com/video/BV1EP4y1j7A1,无痕测车,36471,29195,112,50,1105,0,37,49
94,路遇保时捷Boxster小姐姐，小胖实力撩妹，可为啥把我豁出去了？,https://www.bilibili.com/video/BV1YQ4y1S7KM,玩车女神,36391,91660,2,13,289,0,0,199
95,坦克300 东北后驱试冰,https://www.bilibili.com/video/BV1744y1e7xK,俩个瓶盖,36006,33912,29,9,350,0,101,47
96,公交司机果断飞扑，救下一对母子。张志德，为你点赞！,https://www.bilibili.com/video/BV1sL4y1B7Tu,我记得你你给我点过赞,36003,1091630,615,803,74978,0,266,2293
97,在亚美尼亚买奔驰大G，只需三万块就能圆梦当土豪，这是真的吗？,https://www.bilibili.com/video/BV1w34y1Z7dV,大橙子开车闯地球,35535,29729,392,66,850,0,14,52
98,新车15万，1米长的屏幕，何老板首付7万，喜提新车，这车怎么样？,https://www.bilibili.com/video/BV1n34y1Z7bi,郑在卖车,35346,31984,75,12,573,0,20,22
99,猜猜皇马球员都开什么车？,https://www.bilibili.com/video/BV1Xb4y187vS,浪十七度,35262,39208,62,2,891,0,62,180
